service_prefix,name,SOC,PCI,ISO,FedRAMP_High,FedRAMP_Moderate,HIPAA,HITRUST,IRAP,OSPAR,FINMA
a4b,Alexa for Business,,,,,,true,,,,
access-analyzer,IAM Access Analyzer,,,,,,,,,,
account,AWS Accounts,true,true,true,true,true,true,,true,true,true
acm,AWS Certificate Manager,true,true,true,true,true,true,,true,true,true
acm-pca,AWS Certificate Manager Private Certificate Authority,,,,,,,,,,
activate,AWS Activate,,,,,,,,,,
airflow,Amazon Managed Workflows for Apache Airflow,,,,,,,,,,
amplify,AWS Amplify,true,true,true,,,true,,,true,true
amplifybackend,AWS Amplify Admin,true,true,true,,,true,,,true,true
apigateway,Manage Amazon API Gateway,true,true,true,true,true,true,,true,true,true
appconfig,AWS AppConfig,,,,,,,,,,
appflow,Amazon AppFlow,,,,,,,,,,
application-autoscaling,Application Auto Scaling,true,true,true,true,true,true,,true,true,true
applicationinsights,CloudWatch Application Insights,,,,,,,,,,
appmesh,AWS App Mesh,,true,,,,true,,,,
appmesh-preview,AWS App Mesh Preview,,,,,,,,,,
appstream,Amazon AppStream 2.0,true,true,true,true,true,true,,true,true,true
appsync,AWS AppSync,true,true,true,,,true,,true,true,true
aps,Amazon Managed Service for Prometheus,,,,,,,,,,
arsenal,Application Discovery Arsenal,,,,,,,,,,
artifact,AWS Artifact,,,true,,,,,,,
athena,Amazon Athena,true,true,true,true,true,true,,true,true,true
auditmanager,AWS Audit Manager,,,,,,,,,,
autoscaling,Amazon EC2 Auto Scaling,true,true,true,true,true,true,,true,true,true
autoscaling-plans,AWS Auto Scaling,,,,,,,,,,
aws-marketplace,AWS Private Marketplace,,,,,,true,,,,
aws-marketplace-management,AWS Marketplace Management Portal,,,,,,true,,,,
aws-portal,AWS Billing,true,true,true,true,true,true,,true,true,true
awsconnector,AWS Connector Service,,,,,,,,,,
backup,AWS Backup,true,true,true,,,true,,,true,true
backup-storage,AWS Backup storage,,,,,,,,,,
batch,AWS Batch,true,true,true,true,true,true,,true,true,true
braket,Amazon Braket,,,,,,,,,,
budgets,AWS Budget Service,,,,,,,,,,
cassandra,AWS Managed Apache Cassandra Service,,true,,,,,,,,
ce,AWS Cost Explorer Service,,,,,,,,,,
chatbot,AWS Chatbot,,true,true,,,,,,,
chime,Amazon Chime,true,,true,true,true,true,,true,true,true
cloud9,AWS Cloud9,,,,,,,,,,
clouddirectory,Amazon Cloud Directory,true,true,true,true,true,true,,true,true,true
cloudformation,AWS CloudFormation,true,true,true,true,true,true,,true,true,true
cloudfront,Amazon CloudFront,true,true,true,true,true,true,,true,true,true
cloudhsm,AWS CloudHSM,true,true,true,,,true,,true,true,true
cloudsearch,Amazon CloudSearch,,,,,,,,,,
cloudshell,AWS CloudShell,,,,,,,,,,
cloudtrail,AWS CloudTrail,true,true,true,true,true,true,,true,true,true
cloudwatch,Amazon CloudWatch,true,true,true,true,true,true,,true,true,true
codeartifact,AWS CodeArtifact,,,,,,,,,,
codebuild,AWS CodeBuild,true,true,true,true,true,true,,true,true,true
codecommit,AWS CodeCommit,true,true,true,true,true,true,,true,true,true
codedeploy,AWS CodeDeploy,true,true,true,true,true,true,,true,true,true
codeguru,Amazon CodeGuru,,,,,,,,,,
codeguru-profiler,Amazon CodeGuru Profiler,,,,,,,,,,
codeguru-reviewer,Amazon CodeGuru Reviewer,,,,,,,,,,
codepipeline,AWS CodePipeline,true,true,true,,,true,,,true,true
codestar,AWS CodeStar,,,true,,,,,,,
codestar-connections,AWS CodeStar Connections,,,true,,,,,,,
codestar-notifications,AWS CodeStar Notifications,,,true,,,,,,,
cognito-identity,Amazon Cognito Identity,true,true,true,true,true,true,,true,true,true
cognito-idp,Amazon Cognito User Pools,true,true,true,true,true,true,,true,true,true
